,f0,f1,f2,f3,f4,f5,f6,f7,auc
201,1,1,0,0,1,0,0,1,0.9900739892077208
148,1,0,0,1,0,1,0,0,0.9900843383679812
216,1,1,0,1,1,0,0,0,0.9900857959961868
140,1,0,0,0,1,1,0,0,0.9901121790667099
196,1,1,0,0,0,1,0,0,0.9901153858487624
153,1,0,0,1,1,0,0,1,0.99012762992569
33,0,0,1,0,0,0,0,1,0.9901614469000621
200,1,1,0,0,1,0,0,0,0.9901961384513575
210,1,1,0,1,0,0,1,0,0.9902037181180271
158,1,0,0,1,1,1,1,0,0.9902175655859811
211,1,1,0,1,0,0,1,1,0.990281846989852
205,1,1,0,0,1,1,0,1,0.990299047002679
198,1,1,0,0,0,1,1,0,0.9903066266693487
157,1,0,0,1,1,1,0,1,0.9903248470219199
199,1,1,0,0,0,1,1,1,0.9903286368552545
51,0,0,1,1,0,0,1,1,0.99033767415013
37,0,0,1,0,0,1,0,1,0.9903477317847491
38,0,0,1,0,0,1,1,0,0.990360996201421
214,1,1,0,1,0,1,1,0,0.9903748436693749
213,1,1,0,1,0,1,0,1,0.9903894199514318
159,1,0,0,1,1,1,1,1,0.9903921894450227
39,0,0,1,0,0,1,1,1,0.9903977284322043
206,1,1,0,0,1,1,1,0,0.9904032674193858
98,0,1,1,0,0,0,1,0,0.9904360640540139
204,1,1,0,0,1,1,0,0,0.9904426233809395
156,1,0,0,1,1,1,0,0,0.9904679861117185
207,1,1,0,0,1,1,1,1,0.9904700267912065
36,0,0,1,0,0,1,0,0,0.9904889759578803
197,1,1,0,0,0,1,0,1,0.9905306641245631
115,0,1,1,1,0,0,1,1,0.9905825556886857
49,0,0,1,1,0,0,0,1,0.9906003387527951
97,0,1,1,0,0,0,0,1,0.9906434845476834
40,0,0,1,0,1,0,0,0,0.9906606845605106
96,0,1,1,0,0,0,0,0,0.9906631625284602
52,0,0,1,1,0,1,0,0,0.9906793422015433
48,0,0,1,1,0,0,0,0,0.9906803625412872
212,1,1,0,1,0,1,0,0,0.9906876506823158
215,1,1,0,1,0,1,1,1,0.9906981456053967
222,1,1,0,1,1,1,1,0,0.9907134507015564
103,0,1,1,0,0,1,1,1,0.9907264235925871
114,0,1,1,1,0,0,1,0,0.9907297761374602
50,0,0,1,1,0,0,1,0,0.990733565970795
55,0,0,1,1,0,1,1,1,0.9907576168361889
53,0,0,1,1,0,1,0,1,0.9907764202400422
99,0,1,1,0,0,0,1,1,0.9908465321567358
54,0,0,1,1,0,1,1,0,0.9908526541951996
101,0,1,1,0,0,1,0,1,0.9908867626952128
162,1,0,1,0,0,0,1,0,0.9909106677977862
41,0,0,1,0,1,0,0,1,0.9909310745926657
113,0,1,1,1,0,0,0,1,0.9909354474772829
116,0,1,1,1,0,1,0,0,0.9909646000413967
223,1,1,0,1,1,1,1,1,0.9909672237721668
163,1,0,1,0,0,0,1,1,0.9909683898747316
112,0,1,1,1,0,0,0,0,0.9910057051567971
220,1,1,0,1,1,1,0,0,0.9910304848362939
42,0,0,1,0,1,0,1,0,0.9910386475542458
100,0,1,1,0,0,1,0,0,0.9910739221568233
59,0,0,1,1,1,0,1,1,0.9910823764004164
109,0,1,1,0,1,1,0,1,0.9910829594516986
45,0,0,1,0,1,1,0,1,0.9911091967594009
47,0,0,1,0,1,1,1,1,0.9911344137273594
221,1,1,0,1,1,1,0,1,0.9911393696632589
43,0,0,1,0,1,0,1,1,0.9911408272914645
183,1,0,1,1,0,1,1,1,0.9911768307081449
44,0,0,1,0,1,1,0,0,0.9911784340991713
